Source	Target
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-recitation
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-recitation
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-recitation
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
quran-recitation	quran-sciences
literature-arabic	quran-recitation
period-postclassical	quran-recitation
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
literature-islamic	quran-tafsir
1000-1258CE	quran-tafsir
quran	quran-tafsir
quran-sciences	quran-tafsir
literature-arabic	quran-tafsir
period-postclassical	quran-tafsir
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
literature-islamic	quran
literature-islamic	quran-sciences
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	quran
1000-1258CE	quran-sciences
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
quran	quran-sciences
literature-arabic	quran
period-postclassical	quran
literature-arabic	quran-sciences
period-postclassical	quran-sciences
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
imamis	literature-arabic
imamis	period-postclassical
literature-arabic	shia
period-postclassical	shia
literature-arabic	period-postclassical
1000-1258CE	literature-islamic
imamis	literature-islamic
literature-islamic	shia
literature-arabic	literature-islamic
literature-islamic	period-postclassical
1000-1258CE	imamis
1000-1258CE	shia
1000-1258CE	literature-arabic
1000-1258CE	period-postclassical
imamis	shia
